eta,T,n,r value,r setting,PRC Construction,t,Target FPR,Entropy Model,Generation Model,Old Posterior TPR,Posterior TPR,Old Entropy Aware TPR,Entropy Aware TPR,Naive TPR,Posterior FPR,Entropy FPR,Naive FPR,Entropy Trace Source,Notes
0.1,512,512,507,507/512,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,341/500 (68.2%),335/500 (67.0%),251/500 (50.2%),247/500 (49.4%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A10G; commit=23b8f280380c24a7e8899313874de70d544afc50; run=completion_only_raw_abstain_v1/integrated/03b3c9dbb5a7c8b26273b5f0; report=full.json; old TPR source=hoeffding_results_summary.csv; old evidence SHA256=d2d617a6a958df8ef9d1474282ec778f3e14b62a618a5b30e4e16fde1c3705a4
0.1,768,768,760,760/768,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,458/500 (91.6%),448/500 (89.6%),395/500 (79.0%),385/500 (77.0%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=125; GPU=A100-80GB; commit=23b8f280380c24a7e8899313874de70d544afc50; run=completion_only_raw_abstain_v1/integrated/ff4048f366d743b14c75d446; report=full.json; old TPR source=hoeffding_results_summary.csv; old evidence SHA256=4c16c5c042a1a26ab32917ab0f39f2f04a07a7aad806030340a29890e0c78dac
0.1,1024,1024,1014,1014/1024,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,481/500 (96.2%),476/500 (95.2%),448/500 (89.6%),446/500 (89.2%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=125; GPU=A100-80GB; commit=23b8f280380c24a7e8899313874de70d544afc50; run=completion_only_raw_abstain_v1/integrated/1c593a51d22e269031a2477b; report=full.json; old TPR source=hoeffding_results_summary.csv; old evidence SHA256=a61827acbf6fd7f1e1105dd451c4e4d635bc524f7c1e2dc5a037eab33afec2e4
0.15,256,256,253,253/256,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,50/500 (10.0%),47/500 (9.4%),42/500 (8.4%),37/500 (7.4%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A10G; commit=23b8f280380c24a7e8899313874de70d544afc50; run=completion_only_raw_abstain_v1/integrated/17cee94b237e8fd8f9467eac; report=full.json; old TPR source=hoeffding_results_summary.csv; old evidence SHA256=f09882593c3c1b6e6c12db25deef84a61aae3c4bba038cfce0018582fd0db9e0
0.15,400,400,396,396/400,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,94/500 (18.8%),88/500 (17.6%),49/500 (9.8%),49/500 (9.8%),skipped,0/500 (0.0%),1/500 (0.2%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A10G; commit=23b8f280380c24a7e8899313874de70d544afc50; run=completion_only_raw_abstain_v1/integrated/0f46e12aff1fecf2147659b8; report=full.json; old TPR source=hoeffding_results_summary.csv; old evidence SHA256=f45c48f214d3c232600d20b058672a36e1940f4df4cbdd608c688a5670dd78c5
0.15,512,512,507,507/512,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,160/500 (32.0%),148/500 (29.6%),112/500 (22.4%),110/500 (22.0%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A10G; commit=23b8f280380c24a7e8899313874de70d544afc50; run=completion_only_raw_abstain_v1/integrated/4abea76949f58a98644e215e; report=full.json; old TPR source=hoeffding_results_summary.csv; old evidence SHA256=d2f984723d47dc1392ddf3297203386eb63ccb81ac64878e81248f2c85ac77e2
0.15,1024,1024,1014,1014/1024,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,385/500 (77.0%),373/500 (74.6%),309/500 (61.8%),304/500 (60.8%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=125; GPU=A100-80GB; commit=23b8f280380c24a7e8899313874de70d544afc50; run=completion_only_raw_abstain_v1/integrated/f79139b4509d956cbf385dd1; report=full.json; old TPR source=hoeffding_results_summary.csv; old evidence SHA256=7de77e8ccff967dd7623e25b844263598637a63738fa4dde7c57f36f42cacd68
0.15,1504,1504,1489,1489/1504,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,455/500 (91.0%),455/500 (91.0%),424/500 (84.8%),417/500 (83.4%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=125; GPU=A100-80GB; commit=23b8f280380c24a7e8899313874de70d544afc50; run=completion_only_raw_abstain_v1/integrated/8f73908289279692c83162d3; report=full.json; old TPR source=hoeffding_results_summary.csv; old evidence SHA256=7c9e007ac9f75d4961d111e90a99234a00ba03f35725709684cbd1a811e7e329
0.15,2048,2048,2028,2028/2048,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,487/500 (97.4%),488/500 (97.6%),476/500 (95.2%),476/500 (95.2%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=125; GPU=A100-80GB; commit=23b8f280380c24a7e8899313874de70d544afc50; run=completion_only_raw_abstain_v1/integrated/35c77b8597ae7f8cc90e2f6b; report=full.json; old TPR source=hoeffding_results_summary.csv; old evidence SHA256=d39e4c65b160c9825043b1c02ec25bd639f532a986f8e27070cf68a65c9bf1e4
0.2,2048,2048,2028,2028/2048,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,364/500 (72.8%),361/500 (72.2%),301/500 (60.2%),297/500 (59.4%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=125; GPU=A100-80GB; commit=23b8f280380c24a7e8899313874de70d544afc50; run=completion_only_raw_abstain_v1/integrated/060095c0af4fac4cfc9cae17; report=full.json; old TPR source=hoeffding_results_summary.csv; old evidence SHA256=3a8232fc7ccfbd7bca6b734cdf5476e37308e0b7a2b3c87e7165827e90f8760f
0.2,4096,4096,4055,4055/4096,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,484/500 (96.8%),484/500 (96.8%),476/500 (95.2%),475/500 (95.0%),skipped,1/500 (0.2%),1/500 (0.2%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A100-80GB; commit=23b8f280380c24a7e8899313874de70d544afc50; run=completion_only_raw_abstain_v1/integrated/7f27b4cc6f12b39b35f6ac0a; report=full.json; old TPR source=hoeffding_results_summary.csv; old evidence SHA256=6fc401e3e06b63944cdd1cbd79c62fa5ffae80d2ae771cccdafc96e4522bf24e
0.05,1024,1024,1014,"causal round(0.99L), startup-clamped",online_causal_prc_v1,3,0.001,Qwen3-8B-Base,Qwen3-8B-Base,480/500 (96.0%),466/500 (93.2%),441/500 (88.2%),422/500 (84.4%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=one_shot; batch=125; source inference GPU=H100; source inference commit=e5fa51090ec58f3d7e2ad84fab9e3615201ac645; run=completion_only_raw_abstain_v1/integrated/d79b1fb3223ea92105ebb171/prefixes/n1024; report=full.json; old TPR source=cached_generation_p_trace; historical prompted scoring; old evidence SHA256=2622e3fdd8fa453558e09cd751b2bab46602fad187b0b770bda42dd6c6014584; local CPU prefix rescore from n=1280; new model inference calls=0; parent cache=completion_only_raw_abstain_v1/integrated/d79b1fb3223ea92105ebb171
0.05,1280,1280,1267,"causal round(0.99L), startup-clamped",online_causal_prc_v1,3,0.001,Qwen3-8B-Base,Qwen3-8B-Base,489/500 (97.8%),481/500 (96.2%),462/500 (92.4%),450/500 (90.0%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=one_shot; batch=125; GPU=H100; commit=e5fa51090ec58f3d7e2ad84fab9e3615201ac645; run=completion_only_raw_abstain_v1/integrated/d79b1fb3223ea92105ebb171; report=full.json; old TPR source=cached_generation_p_trace; historical prompted scoring; old evidence SHA256=a2354e7103eea987262acdb03e6355efd2607fe678332c448cc95b2d944065fe
