regime,left,right,length,source,metric,mean,ci95_low,ci95_high
8b_full,prc,null,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,distinct_3,0.004696673189823859,-0.009151174168297473,0.02088576320939328
8b_full,prc,null,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,repeated_4gram_fraction,-0.005416258570029383,-0.021088393731635652,0.006300440744368247
8b_full,synthid_depth2,null,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,self_bleu,7.395459328228986e-05,-0.0036938642283421298,0.003932136222041129
8b_full,synthid_depth2,null,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,distinct_3,-0.0021105527638190956,-0.010326633165829147,0.005778894472361804
8b_full,synthid_depth2,null,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,repeated_4gram_fraction,0.002544080604534007,-0.003955289672544085,0.009672544080604539
8b_full,synthid_depth2,null,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,self_bleu,0.0005895784067754121,-0.003342912717752233,0.004868899193490705
8b_full,synthid_depth2,null,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,distinct_3,-0.005254403131115482,-0.020926369863013723,0.012711105675146758
8b_full,synthid_depth2,null,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,repeated_4gram_fraction,0.0035161606268364364,-0.013429480901077375,0.017884671890303617
8b_full,synthid_depth10,null,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,self_bleu,0.003153569030056643,-0.0008412897643799069,0.006943966286319806
8b_full,synthid_depth10,null,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,distinct_3,0.00309045226130652,-0.0024880653266331878,0.00874371859296479
8b_full,synthid_depth10,null,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,repeated_4gram_fraction,-0.0028211586901763243,-0.007128463476070525,0.0012600755667506172
8b_full,synthid_depth10,null,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,self_bleu,0.00278258916843643,-0.0005513064294158772,0.0062185293631929145
8b_full,synthid_depth10,null,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,distinct_3,0.003933463796477481,-0.008767857142857157,0.019149706457925623
8b_full,synthid_depth10,null,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,repeated_4gram_fraction,-0.005014691478942215,-0.01983496571988247,0.006534035259549458
8b_full,synthid_depth30,null,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,self_bleu,0.014322052784787933,0.008131606835822949,0.021588265004564407
8b_full,synthid_depth30,null,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,self_bleu,0.009622358499515381,0.005285328269035391,0.014578589578517476
8b_topk,prc,synthid_depth2,1024,outputs/self_bleu_topk/matched_v2/summary.json,distinct_3,-0.001007827788649711,-0.01016658512720155,0.008445694716242623
8b_topk,prc,synthid_depth2,1024,outputs/self_bleu_topk/matched_v2/summary.json,repeated_4gram_fraction,0.0012144955925563162,-0.00741454456415279,0.009276934378060701
8b_topk,prc,synthid_depth2,1024,outputs/self_bleu_topk/matched_v2/summary.json,self_bleu,0.0009506368956599169,-0.005026503634944219,0.007339588228379803
