temperature,N,wang_published_TPR,wang_published_TPR_CI_low,wang_published_TPR_CI_high,wang_published_realized_FPR,wang_published_FPR_CI_low,wang_published_FPR_CI_high,wang_published_threshold,wang_published_AUC,posterior_standard_TPR,posterior_standard_TPR_CI_low,posterior_standard_TPR_CI_high,posterior_standard_realized_FPR,posterior_standard_FPR_CI_low,posterior_standard_FPR_CI_high,posterior_standard_threshold,posterior_standard_AUC
1.0,160,0.0,0.0,0.0,0.0,0.0,0.0,7232.824913450762,0.5450244140621776,0.05,0.00625,0.11265624999999917,0.0,0.0,0.0,3.7169221888498383,0.684554443359025
1.2,160,0.0,0.0,0.0,0.0,0.0,0.0,7232.824913450762,0.9713526916500147,0.975,0.925,1.0,4.8828125e-05,0.0,0.0001953125,3.7169221888498383,0.9984600830074355
1.4,160,0.3375,0.21875,0.45625,0.0,0.0,0.0,7232.824913450762,0.9999999999996229,1.0,0.9999999999999998,1.0000000000000004,9.765625e-05,0.0,0.00043945312499999996,3.7169221888498383,0.999999999999623
1.6,160,0.98125,0.925,1.0000000000000002,0.0,0.0,0.0,7232.824913450762,0.9999999999996229,1.0,0.9999999999999998,1.0000000000000004,4.8828125e-05,0.0,0.00029296875,3.7169221888498383,0.999999999999623
1.8,160,1.0,0.9999999999999998,1.0000000000000004,0.0,0.0,0.0,7232.824913450762,0.999999999999623,1.0,0.9999999999999998,1.0000000000000004,0.0,0.0,0.0,3.7169221888498383,0.999999999999623
