model_size,prompt_count,trace_t,token_count,source_cache_t,mean_full_entropy_bits,mean_projected_entropy_bits,mean_gap_bits,median_full_entropy_bits_approx,median_projected_entropy_bits_approx,median_gap_bits_approx,projection_retention_ratio_of_means,correlation_full_vs_projected,rate_full_lt_1_bit,rate_projected_lt_0p1_bit,rate_mapping_collapse_full_ge_1
0.6B,500,1808,904000,8192,6.484858257087914,0.8658944471823007,5.618963809905613,6.73,0.967,5.79,0.13352557802414308,0.7247571024397554,0.051809734513274336,0.03296017699115044,0.0014966814159292035
8B,500,1808,904000,13088,4.5505513452003425,0.7403635721708831,3.8101877730294595,4.49,0.913,3.63,0.1626975537704405,0.7733865404873002,0.15283185840707963,0.107375,0.004495575221238938
14B,500,1808,904000,1808,4.150516054366605,0.7150574945843259,3.4354585597822798,4.050000000000001,0.891,3.21,0.17228158745032204,0.7793311431989078,0.17452101769911504,0.12405641592920354,0.005273230088495575
