family,paper_ref,construction,generation_model,detector_model,detector,eta,t,block_length,tokens,detected,n_watermarked,tpr_percent,ci_lower_percent,ci_upper_percent
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Naive,0.1,3,1024,1024,385,500,77.0,73.11377813252322,80.47450748255297
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Posterior mean,0.15,3,256,256,47,500,9.4,7.142640859222131,12.276455586255912
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Entropy weighted,0.15,3,256,256,37,500,7.3999999999999995,5.4161184751011975,10.033475332223055
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Naive,0.15,3,256,256,12,500,2.4,1.3781314655496988,4.147705746390075
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Posterior mean,0.15,3,512,512,148,500,29.599999999999998,25.76653952306019,33.74453356777114
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Entropy weighted,0.15,3,512,512,110,500,22.0,18.590093257162362,25.83686980868456
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Naive,0.15,3,512,512,56,500,11.200000000000001,8.726280019410227,14.26536880040623
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Posterior mean,0.15,3,1024,1024,373,500,74.6,70.60690794081029,78.21797450848135
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Entropy weighted,0.15,3,1024,1024,304,500,60.8,56.45405202499838,64.98126222103208
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Naive,0.15,3,1024,1024,201,500,40.2,35.9928740326145,44.55656304043193
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Posterior mean,0.15,3,1504,1504,455,500,91.0,88.16905887106667,93.20574521108605
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Entropy weighted,0.15,3,1504,1504,417,500,83.39999999999999,79.88646838026932,86.40422567689899
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Naive,0.15,3,1504,1504,341,500,68.2,63.992500124841676,72.12997388235782
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Posterior mean,0.15,3,2048,2048,488,500,97.6,95.85229425360993,98.6218685344503
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Entropy weighted,0.15,3,2048,2048,476,500,95.19999999999999,92.957280316411,96.75347930586469
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Naive,0.15,3,2048,2048,441,500,88.2,85.07680121388806,90.74069917484935
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Posterior mean,0.2,3,2048,2048,361,500,72.2,68.1151400363696,75.94633924713749
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Entropy weighted,0.2,3,2048,2048,297,500,59.4,55.03970661272917,63.61695578659366
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Naive,0.2,3,2048,2048,229,500,45.800000000000004,41.481460977485106,50.18258348239194
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Posterior mean,0.2,3,4096,4096,484,500,96.8,94.86551309545582,98.0208486373429
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Entropy weighted,0.2,3,4096,4096,475,500,95.0,92.72318388284523,96.59062547561506
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Naive,0.2,3,4096,4096,447,500,89.4,86.39490699892671,91.80429497270298
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Posterior mean,0.05,3,,520,451,500,90.2,87.27939491335182,92.50760811353939
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Entropy weighted,0.05,3,,520,394,500,78.8,75.00478841824444,82.15604957117016
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Naive,0.05,3,,520,306,500,61.199999999999996,56.8588177086666,65.37039706499462
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.05,3,,520,349,500,69.8,65.63723120570819,73.66084491201434
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy weighted,0.05,3,,520,269,500,53.800000000000004,49.4176845283715,58.1243704841207
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Naive,0.05,3,,520,138,500,27.6,23.863813294339813,31.677757158337744
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.05,3,,864,450,500,90.0,87.05780903680599,92.33224372626984
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy weighted,0.05,3,,864,397,500,79.4,75.63735290819747,82.71433587266328
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Naive,0.05,3,,864,276,500,55.2,50.8179738010616,59.502733058138254
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Posterior mean,0.1,3,,848,450,500,90.0,87.05780903680599,92.33224372626984
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Entropy weighted,0.1,3,,848,395,500,79.0,75.21551530407024,82.34227294915975
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Naive,0.1,3,,848,292,500,58.4,54.03165775956056,62.64025332068537
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.1,3,,848,331,500,66.2,61.944273803546935,70.20869756549878
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy weighted,0.1,3,,848,234,500,46.800000000000004,42.467406592197946,51.18138918675601
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Naive,0.1,3,,848,118,500,23.599999999999998,20.08812954715589,27.514435629214073
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.1,3,,1664,451,500,90.2,87.27939491335182,92.50760811353939
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy weighted,0.1,3,,1664,408,500,81.6,77.96708962064596,84.75105206218394
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Naive,0.1,3,,1664,284,500,56.8,52.42253434338132,61.073774626341546
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Posterior mean,0.15,3,,1648,450,500,90.0,87.05780903680599,92.33224372626984
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Entropy weighted,0.15,3,,1648,424,500,84.8,81.38858517125614,87.68076073261983
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Naive,0.15,3,,1648,307,500,61.4,57.061312708877225,65.56485232859939
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.15,3,,1648,308,500,61.6,57.26388276307123,65.75923253822077
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy weighted,0.15,3,,1648,247,500,49.4,45.039013091903215,53.770136116650654
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Naive,0.15,3,,1648,123,500,24.6,21.02809916856707,28.559217326879782
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.15,3,,4672,450,500,90.0,87.05780903680599,92.33224372626984
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy weighted,0.15,3,,4672,429,500,85.8,82.46703326752247,88.5870639554304
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Naive,0.15,3,,4672,351,500,70.19999999999999,66.04929783319653,74.04267881215677
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Posterior mean,0.2,3,,3136,450,500,90.0,87.05780903680599,92.33224372626984
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Entropy weighted,0.2,3,,3136,403,500,80.60000000000001,76.9060370280767,83.82735333567634
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Naive,0.2,3,,3136,327,500,65.4,61.127293492592116,69.43787682119209
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.2,3,,3136,295,500,59.0,54.63626881245969,63.22649305923236
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy weighted,0.2,3,,3136,216,500,43.2,38.926225373658454,47.57746565661867
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Naive,0.2,3,,3136,108,500,21.6,18.216774485419418,25.416288052796748
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.2,3,,11856,450,500,90.0,87.05780903680599,92.33224372626984
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy weighted,0.2,3,,11856,429,500,85.8,82.46703326752247,88.5870639554304
fixed_online_detection,fig:prc-detection-power,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Naive,0.2,3,,11856,383,500,76.6,72.69485494684876,80.09953014059667
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.05,3,,520,349,500,69.8,65.63723120570819,73.66084491201434
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.05,3,,692,414,500,82.8,79.24525525008733,85.85458801563486
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.05,3,,864,450,500,90.0,87.05780903680599,92.33224372626984
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.05,3,,1280,481,500,96.2,94.1415227469356,97.55398819441696
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy-weighted,0.05,3,,520,269,500,53.8,49.4176845283715,58.1243704841207
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy-weighted,0.05,3,,692,358,500,71.6,67.4944056876268,75.37622280443414
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy-weighted,0.05,3,,864,397,500,79.4,75.63735290819747,82.71433587266328
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy-weighted,0.05,3,,1280,450,500,90.0,87.05780903680599,92.33224372626984
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.1,3,,848,331,500,66.2,61.944273803546935,70.20869756549878
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.1,3,,1256,412,500,82.4,78.818582871064,85.48735986702741
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.1,3,,1664,451,500,90.2,87.27939491335182,92.50760811353939
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.1,3,,3072,471,500,94.2,91.79438121437451,95.93162708882429
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy-weighted,0.1,3,,848,234,500,46.8,42.467406592197946,51.18138918675601
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy-weighted,0.1,3,,1256,356,500,71.2,67.08105507601559,74.9956728884146
