timestamp_utc,scheme,eta,T,n,r value,free coordinates,r setting,t,Target FPR,Generation Model,num prompts,batch,kv cache implementation,kv cache version,null kv cache implementation,null kv cache version,experiment seed,Map TPR,Map FPR,Entropy Aware TPR,Entropy FPR,Naive TPR,Naive FPR,null cache T,watermarked cache mode,watermarked cache T,watermarked cache tag,watermarked resume source T,watermarked resume source tag,schedule version,stopping policy,FPR policy,artifact fingerprint
2026-09-01T08:04:55.708603+00:00,online_causal_prc_v1,0.05,448,448,444,4,"causal round(0.99L), startup-clamped",3,1e-03,Qwen3-8B-Base,500,25,static,static-v1,legacy-unversioned,legacy-unversioned,12345,364/500 (72.8%),0/500 (0.0%),260/500 (52.0%),0/500 (0.0%),114/500 (22.8%),0/500 (0.0%),768,prefix_from_longer,1280,online_causal_prc_v1/qwen3_8b_base/n1280_T1280_t3_eta0.05_rr99of100_sampler-poscdf-v1_kvcache-static-v1,,,rational_round_half_even_v1,forced_length_v1,one_shot,db371eb0aaa72908704b9b39b96b76b555bc74d0e4b351552f70d84b2d85b224
2026-09-01T08:07:00.389398+00:00,online_causal_prc_v1,0.1,800,800,792,8,"causal round(0.99L), startup-clamped",3,1e-03,Qwen3-8B-Base,500,25,static,static-v1,legacy-unversioned,legacy-unversioned,12345,348/500 (69.6%),0/500 (0.0%),237/500 (47.4%),0/500 (0.0%),93/500 (18.6%),0/500 (0.0%),1382,prefix_from_longer,3072,online_causal_prc_v1/qwen3_8b_base/n3072_T3072_t3_eta0.10_rr99of100_sampler-poscdf-v1_kvcache-static-v1,,,rational_round_half_even_v1,forced_length_v1,one_shot,0197326cf48c817a9872fe588f69715d629a8d19ea25f5c220dca07acc6c9561
