label,prefix_length,prompts,median_distinct_2,median_distinct_3,median_repetition_rate,median_base_nll,median_base_entropy,median_first_repeat_4gram_onset
textseal_frozen_seed12345_batch5,128,5,0.9606299212598425,0.9920634920634921,0.0,2.3622896809765734,2.774394400170422,129
textseal_frozen_seed12345_batch5,256,5,0.9137254901960784,0.984251968503937,0.007905138339920903,2.2735472409738335,2.6257920840016595,169
textseal_frozen_seed12345_batch5,400,5,0.7794486215538847,0.8467336683417085,0.1335012594458438,1.9865493796144074,2.0261662231804802,169
textseal_frozen_seed12345_batch5,512,5,0.6438356164383562,0.6980392156862745,0.2848722986247544,1.8630212416735787,1.9854728029406488,169
textseal_frozen_seed12345_batch5,768,5,0.4302477183833116,0.46736292428198434,0.5202614379084967,1.275322959750035,1.4263975149838377,169
textseal_frozen_seed12345_batch5,1024,5,0.3225806451612903,0.350293542074364,0.6405484818805093,0.9605985434379323,1.087081533719541,169
gumbel_power_frozen_batch5,128,5,0.84251968503937,0.8809523809523809,0.10399999999999998,1.919991278050702,2.5461478567813174,114
gumbel_power_frozen_batch5,256,5,0.8862745098039215,0.9251968503937008,0.06719367588932801,2.295149756759997,2.6494743652456236,114
gumbel_power_frozen_batch5,400,5,0.5864661654135338,0.6030150753768844,0.39546599496221657,1.5860295520347427,1.9184400314872618,114
gumbel_power_frozen_batch5,512,5,0.4598825831702544,0.47843137254901963,0.49901768172888017,1.380987544532736,1.5499493977333536,114
gumbel_power_frozen_batch5,768,5,0.3455019556714472,0.38642297650130547,0.5934640522875817,0.9219593482154673,1.0421184034366908,114
gumbel_power_frozen_batch5,1024,5,0.38220918866080156,0.43737769080234834,0.535749265426053,0.793786057956281,0.937547034296903,114
gumbel_power_frozen_batch1,128,1,0.84251968503937,0.9206349206349206,0.06399999999999995,1.7237636390557327,1.9237593413017748,48
gumbel_power_frozen_batch1,256,1,0.8235294117647058,0.9212598425196851,0.055335968379446654,1.8340925695740822,2.02379317097234,48
gumbel_power_frozen_batch1,400,1,0.7268170426065163,0.8241206030150754,0.1385390428211587,1.3170673206241366,1.5295395685042807,48
gumbel_power_frozen_batch1,512,1,0.6790606653620352,0.7784313725490196,0.174852652259332,1.1209707852843533,1.2864848184588595,48
gumbel_power_frozen_batch1,768,1,0.6727509778357236,0.7950391644908616,0.14771241830065363,0.8969671933477623,1.0106524889312796,48
gumbel_power_frozen_batch1,1024,1,0.7057673509286413,0.8287671232876712,0.1194906953966699,0.9333466862293325,1.034739361908537,48
textseal_frozen_seed67890_batch5,128,5,0.968503937007874,1.0,0.0,2.3432222421706683,2.86639189174457,129
textseal_frozen_seed67890_batch5,256,5,0.8627450980392157,0.9488188976377953,0.04347826086956519,1.8797840211197183,2.0939268728643583,132
textseal_frozen_seed67890_batch5,400,5,0.7243107769423559,0.7788944723618091,0.21158690176322414,1.9494188116209443,2.039882976846711,132
textseal_frozen_seed67890_batch5,512,5,0.5655577299412916,0.6078431372549019,0.38506876227897835,1.5760004859651104,1.8129090129956467,132
textseal_frozen_seed67890_batch5,768,5,0.3767926988265971,0.4046997389033943,0.5908496732026144,1.0526390855626861,1.217672332648912,132
textseal_frozen_seed67890_batch5,1024,5,0.2825024437927664,0.30332681017612523,0.693437806072478,0.7903271849236453,0.9182956449445321,132
vanilla_paper_decode_seed12345_batch5,128,5,0.889763779527559,0.9206349206349206,0.04800000000000004,1.398441270328476,2.4177530930610374,62
vanilla_paper_decode_seed12345_batch5,256,5,0.8313725490196079,0.9251968503937008,0.03952569169960474,1.2593037237895714,2.2407822332825162,62
vanilla_paper_decode_seed12345_batch5,400,5,0.7694235588972431,0.8919597989949749,0.06045340050377834,0.9402618154379525,1.69544290330261,62
textseal_paper_decode_seed12345_batch5,128,5,0.8582677165354331,0.9523809523809523,0.03200000000000003,1.2823661371403432,2.336680561013054,47
textseal_paper_decode_seed12345_batch5,256,5,0.8,0.8976377952755905,0.07509881422924902,1.0027774019309135,1.8290789578968543,47
textseal_paper_decode_seed12345_batch5,400,5,0.5964912280701754,0.6909547738693468,0.2821158690176322,1.0197931198801142,1.6416677754606643,47
gumbel_log_frozen_batch5,128,5,0.84251968503937,0.8809523809523809,0.10399999999999998,1.919991278050702,2.5461478567813174,114
gumbel_log_frozen_batch5,256,5,0.8862745098039215,0.9251968503937008,0.06719367588932801,2.295149756759997,2.6494743652456236,114
gumbel_log_frozen_batch5,400,5,0.5864661654135338,0.6030150753768844,0.39546599496221657,1.5860295520347427,1.9184400314872618,114
gumbel_log_frozen_batch1,128,1,0.84251968503937,0.9206349206349206,0.06399999999999995,1.7237636390557327,1.9237593413017748,48
gumbel_log_frozen_batch1,256,1,0.8235294117647058,0.9212598425196851,0.055335968379446654,1.8340925695740822,2.02379317097234,48
gumbel_log_frozen_batch1,400,1,0.7268170426065163,0.8241206030150754,0.1385390428211587,1.3170673206241366,1.5295395685042807,48
