method,sample_type,prompt_index,prompt_id,generation_seed,generated_token_hash,output_length,base_model_nll,base_model_perplexity,repetition_rate,repetition_metric,distinct_2,distinct_3,runtime_seconds
textseal,null,3,doc-9,12345,f56042bda26e2af5129288861a3b0730ae27fbe0cc06de1e324fd6a1b6d52f47,1024,2.334603604011212,10.32536618431285,0.03525954946131249,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.8484848484848485,0.9383561643835616,0.0
textseal,null,4,doc-12,12345,cc61d257ca13ff135ac1b5308b073b6f33e20d61bcb14573129f37ed2b0232ae,1024,3.6583263912353416,38.79635858160327,0.0009794319294809117,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.9305962854349951,0.9931506849315068,0.0
synthid_text,watermarked,0,doc-0,12345,f219744d0bd0d495734a3a80b042d83fcd08709560f35f939028274a38d57eb7,1024,3.1678539715690306,23.756447600881344,0.006856023506366271,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.9159335288367546,0.9804305283757339,8.100782993
synthid_text,watermarked,1,doc-4,12345,eee63833bd9b1c19d3398f6a2be6b05b79ad950c2034b73670b52501aabacc50,1024,2.3943060627038477,10.960589457627124,0.021547502448579836,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.8455522971652004,0.9471624266144814,8.100782993
synthid_text,watermarked,2,doc-6,12345,1944a10e35a18519d06e499ed1cf29a2bde1fffcc66d67530dce47da0c6ca0fb,1024,2.9355469511333574,18.831800393447754,0.02448579823702257,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.852394916911046,0.9481409001956947,8.100782993
synthid_text,watermarked,3,doc-9,12345,88b0957372a2bc2156d5818c27cf3c8a9cce455ecaf5220e5e3390e3de3c3cd6,1024,3.545085637739561,34.64265193363694,0.012732615083251742,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.9198435972629521,0.9794520547945206,8.100782993
synthid_text,watermarked,4,doc-12,12345,dfab00f3034ecd9fea4a792b45c0df74127f66960781c6173bb2015c0e8f5355,1024,3.4142947622262483,30.395505808180545,0.002938295788442735,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.8963831867057673,0.9833659491193738,8.100782993
synthid_text,null,0,doc-0,12345,8d4b878c78d0662ba43f9dc15be44a00c6f9b7853983b1a1d818c693ce5ce749,1024,1.3796048329115642,3.9733311875053277,0.1547502448579824,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.696969696969697,0.7935420743639922,0.0
synthid_text,null,1,doc-4,12345,a783aa7f56ccc7510b60359019bb2dd7ec3c675f17c9cfa8858e6a3ac373d1f7,1024,1.5279522519444488,4.608729635721916,0.09990205680705189,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.7214076246334311,0.8454011741682974,0.0
synthid_text,null,2,doc-6,12345,3111a32e14ae7059d4c84b297b7e5c1db352d21d8b5f56cd8d331cfe7ce017b3,1024,3.360953776730298,28.816662438371782,0.0019588638589618235,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.8993157380254154,0.9902152641878669,0.0
synthid_text,null,3,doc-9,12345,f56042bda26e2af5129288861a3b0730ae27fbe0cc06de1e324fd6a1b6d52f47,1024,2.334603604011212,10.32536618431285,0.03525954946131249,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.8484848484848485,0.9383561643835616,0.0
synthid_text,null,4,doc-12,12345,cc61d257ca13ff135ac1b5308b073b6f33e20d61bcb14573129f37ed2b0232ae,1024,3.6583263912353416,38.79635858160327,0.0009794319294809117,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.9305962854349951,0.9931506849315068,0.0
gumbel_max,watermarked,0,doc-0,12345,b2ab07f5db6b13b95ac2d533a20847050bfaa95f164a64de5cc77e698bb49af9,1024,0.793786057956281,2.2117544247760113,0.5308521057786484,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.3870967741935484,0.4452054794520548,7.110848233800001
gumbel_max,watermarked,1,doc-4,12345,157c5d26f77b303493df1415576e11ff63b5a3ab829c894fdb500df86468e123,1024,0.22175256204087201,1.2482624721297975,0.8765915768854065,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.11827956989247312,0.12133072407045009,7.110848233800001
gumbel_max,watermarked,2,doc-6,12345,316cecd0261039f2cda351d74342d48c116b4f5cbaace0e84aed2a4da8c39d0a,1024,0.9059307492756477,2.474233742946734,0.535749265426053,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.38220918866080156,0.43737769080234834,7.110848233800001
gumbel_max,watermarked,3,doc-9,12345,24c8f96ef1fda4735a73ac312b259a4f5395c7fdd7c04967a6a2deb8a67ed879,1024,2.020853638827674,7.544762687888473,0.19882468168462297,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.7458455522971652,0.7974559686888454,7.110848233800001
gumbel_max,watermarked,4,doc-12,12345,ea1078bb6b335f7e4b7d5fcef392690bd903adfe9db860310a106f4b14b91634,1024,0.691811991229753,1.997331403277,0.7649363369245837,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.22971652003910067,0.23483365949119372,7.110848233800001
gumbel_max,null,0,doc-0,12345,8d4b878c78d0662ba43f9dc15be44a00c6f9b7853983b1a1d818c693ce5ce749,1024,1.3796048329115642,3.9733311875053277,0.1547502448579824,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.696969696969697,0.7935420743639922,0.0
gumbel_max,null,1,doc-4,12345,a783aa7f56ccc7510b60359019bb2dd7ec3c675f17c9cfa8858e6a3ac373d1f7,1024,1.5279522519444488,4.608729635721916,0.09990205680705189,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.7214076246334311,0.8454011741682974,0.0
gumbel_max,null,2,doc-6,12345,3111a32e14ae7059d4c84b297b7e5c1db352d21d8b5f56cd8d331cfe7ce017b3,1024,3.360953776730298,28.816662438371782,0.0019588638589618235,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.8993157380254154,0.9902152641878669,0.0
gumbel_max,null,3,doc-9,12345,f56042bda26e2af5129288861a3b0730ae27fbe0cc06de1e324fd6a1b6d52f47,1024,2.334603604011212,10.32536618431285,0.03525954946131249,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.8484848484848485,0.9383561643835616,0.0
gumbel_max,null,4,doc-12,12345,cc61d257ca13ff135ac1b5308b073b6f33e20d61bcb14573129f37ed2b0232ae,1024,3.6583263912353416,38.79635858160327,0.0009794319294809117,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.9305962854349951,0.9931506849315068,0.0
