method,method_setting,sample_count,quality_likelihood_model,mean_base_model_nll,mean_base_model_perplexity,mean_repetition_rate,mean_distinct_2,mean_distinct_3,median_base_model_nll,median_base_model_perplexity,median_repetition_rate,median_distinct_2,median_distinct_3,repetition_rate_gt_0p1_count,distinct_3_lt_0p8_count
online_prc,eta=0.05,500,Qwen3-8B-Base,2.9793122759439763,25.303882946439973,0.02695592556317336,0.8721759530791788,0.952119373776908,2.9985561215656995,20.056558875699544,0.013712047012732653,0.8866080156402737,0.9677103718199609,19,8
online_prc,eta=0.10,500,Qwen3-8B-Base,3.011721967240975,27.253894818792823,0.02721449559255632,0.8734037145650049,0.9520958904109589,3.075872545004316,21.66883616735384,0.012242899118511286,0.8905180840664711,0.9706457925636007,28,9
online_prc,eta=0.15,500,Qwen3-8B-Base,2.9904743884028333,26.29485512330164,0.027318315377081296,0.8736989247311828,0.9523992172211351,3.0637770726275413,21.40828065597387,0.01175318315377083,0.8934506353861192,0.9716242661448141,25,16
online_prc,eta=0.20,500,Qwen3-8B-Base,3.010306041261583,25.921356258654143,0.02628795298726739,0.8731534701857282,0.9529686888454012,3.0276914516672058,20.64952197125382,0.013712047012732653,0.8875855327468231,0.9677103718199609,18,8
null,shared canonical null,500,Qwen3-8B-Base,2.9684565763672945,26.448046046245608,0.028881488736532814,0.8709130009775171,0.9501095890410959,3.0036431062172344,20.158871056665824,0.014201762977473109,0.8875855327468231,0.9667318982387475,25,9
textseal,frozen controlled setting,500,Qwen3-8B-Base,1.573320693803432,6.099057766260605,0.3304348677766895,0.5908289345063539,0.6524677103718199,1.5902690632555512,4.905107009804503,0.26248775710088146,0.6402737047898338,0.7211350293542075,367,304
synthid_text,frozen controlled setting,500,Qwen3-8B-Base,3.0312017080897617,27.748603308064336,0.02578060724779628,0.8755171065493647,0.9539001956947162,3.059905856603443,21.32556527729639,0.01175318315377083,0.8934506353861192,0.9716242661448141,25,8
gumbel_max,frozen controlled setting,500,Qwen3-8B-Base,1.0114656814799337,3.4395228460945506,0.5737786483839373,0.38479374389051807,0.41754207436399216,0.8903850909057827,2.43606793891924,0.6327130264446621,0.3343108504398827,0.3610567514677104,469,439
