timestamp_utc,scheme,eta,T,n,r value,r setting,t,Target FPR,Generation Model,num prompts,batch,experiment seed,Map TPR,Map FPR,Entropy Aware TPR,Entropy FPR,Naive TPR,Naive FPR,null cache T,artifact fingerprint
2026-08-15T21:43:58.833470+00:00,fixed_prc_replicate_v1,0.05,256,256,253,0.99n,3,1e-03,Qwen3-0.6B-Base,500,64,54321,339/500 (67.8%),0/500 (0.0%),237/500 (47.4%),0/500 (0.0%),134/500 (26.8%),0/500 (0.0%),512,77d1e76f30db0107e5f08f10f6d4f2af7a5a5027f4f65f66f47e9c44d9303e9a
2026-08-15T21:44:03.049891+00:00,fixed_prc_replicate_v1,0.05,256,256,253,0.99n,3,1e-03,Qwen3-0.6B-Base,500,64,67890,317/500 (63.4%),0/500 (0.0%),226/500 (45.2%),0/500 (0.0%),136/500 (27.2%),0/500 (0.0%),512,86b029299425f554307e8cd4368b8ba5bdaecb22ed4bb5ee7dd4607011ec8bb6
