Setting,Self-BLEU [95% CI],Detected /100,TPR (%) [95% CI],Repeat-4 (%),Distinct-3 (%)
Ordinary,"0.01415 [0.01242, 0.01601]",--,--,2.04,96.66
PRC eta=.05,"0.01353 [0.01210, 0.01503]",99,"99.0 [97.0, 100.0]",2.63,95.87
SynthID d=2,"0.01302 [0.01150, 0.01476]",100,"100.0 [100.0, 100.0]",1.71,97.03
SynthID d=10,"0.01442 [0.01240, 0.01664]",100,"100.0 [100.0, 100.0]",2.06,96.50
TextSeal a=.1 (on),"0.03802 [0.03395, 0.04221]",100,"100.0 [100.0, 100.0]",2.31,95.51
Gumbel-Max (on),"0.21869 [0.19130, 0.24809]",100,"100.0 [100.0, 100.0]",2.82,94.77
