Left minus right,Self-BLEU [95% CI],Detection pp [95% CI],Repeat-4 pp [95% CI],Distinct-3 pp [95% CI]
PRC eta=.05 - SynthID d=2,"-0.01460 [-0.02410, -0.00532]","-86.0 [-92.0, -79.0]","+0.69 [-2.65, +4.00]","-0.54 [-4.14, +2.94]"
PRC eta=.05 - SynthID d=10,"-0.01761 [-0.02802, -0.00829]","-99.0 [-100.0, -97.0]","+0.89 [-2.36, +4.43]","-0.68 [-4.33, +2.67]"
PRC eta=.05 - Ordinary,"-0.00670 [-0.01511, +0.00109]",--,"+1.53 [-1.89, +5.28]","-1.26 [-5.05, +2.15]"
SynthID d=2 - Ordinary,"+0.00790 [-0.00291, +0.01873]",--,"+0.84 [-2.36, +4.04]","-0.72 [-3.91, +2.50]"
SynthID d=10 - Ordinary,"+0.01091 [+0.00242, +0.01968]",--,"+0.65 [-2.16, +3.64]","-0.58 [-3.57, +2.23]"
