Left minus right,Self-BLEU [95% CI],Detection pp [95% CI],Repeat-4 pp [95% CI],Distinct-3 pp [95% CI]
PRC eta=.05 - SynthID d=2,"+0.00124 [-0.00398, +0.00665]","-67.0 [-76.0, -58.0]","-0.10 [-0.66, +0.41]","+0.11 [-0.56, +0.82]"
PRC eta=.05 - SynthID d=10,"-0.00269 [-0.00914, +0.00386]","-67.0 [-76.0, -58.0]","+0.21 [-0.25, +0.69]","-0.27 [-0.86, +0.31]"
PRC eta=.05 - SynthID d=30,"-0.01426 [-0.02081, -0.00715]","-67.0 [-76.0, -58.0]","+0.29 [-0.24, +0.79]","-0.17 [-0.87, +0.54]"
PRC eta=.05 - Ordinary,"+0.00446 [-0.00068, +0.01021]",--,"-0.46 [-1.16, +0.20]","+0.58 [-0.23, +1.43]"
SynthID d=2 - Ordinary,"+0.00322 [-0.00138, +0.00799]",--,"-0.36 [-1.13, +0.38]","+0.47 [-0.45, +1.43]"
SynthID d=10 - Ordinary,"+0.00715 [+0.00218, +0.01203]",--,"-0.66 [-1.27, -0.08]","+0.85 [+0.18, +1.56]"
SynthID d=30 - Ordinary,"+0.01873 [+0.01206, +0.02552]",--,"-0.75 [-1.41, -0.12]","+0.75 [-0.01, +1.54]"
