Setting,Self-BLEU [95% CI],Detected /100,TPR (%) [95% CI],Repeat-4 (%),Distinct-3 (%)
Ordinary,"0.02389 [0.02063, 0.02738]",--,--,2.06,95.96
PRC eta=.05,"0.02835 [0.02371, 0.03406]",33,"33.0 [24.0, 42.0]",1.60,96.54
SynthID d=2,"0.02711 [0.02338, 0.03119]",100,"100.0 [100.0, 100.0]",1.70,96.43
SynthID d=10,"0.03104 [0.02614, 0.03620]",100,"100.0 [100.0, 100.0]",1.39,96.81
SynthID d=30,"0.04262 [0.03641, 0.04900]",100,"100.0 [100.0, 100.0]",1.30,96.71
