Setting,Self-BLEU [95% CI],Detected /100,TPR (%) [95% CI],Repeat-4 (%),Distinct-3 (%)
Ordinary,"0.05277 [0.04407, 0.06187]",--,--,9.79,85.89
PRC eta=.05,"0.04607 [0.03913, 0.05288]",1,"1.0 [0.0, 3.0]",11.32,84.63
SynthID d=2,"0.06066 [0.05190, 0.07006]",87,"87.0 [80.0, 93.0]",10.63,85.17
SynthID d=10,"0.06368 [0.05373, 0.07419]",100,"100.0 [100.0, 100.0]",10.44,85.31
