Setting,Self-BLEU [95% CI],Detected /100,TPR (%) [95% CI],Repeat-4 (%),Distinct-3 (%)
Ordinary,"0.01509 [0.01305, 0.01749]",--,--,0.94,97.98
PRC eta=.05,"0.01336 [0.01186, 0.01498]",79,"79.0 [70.0, 88.0]",1.43,97.35
SynthID d=2,"0.01456 [0.01246, 0.01692]",100,"100.0 [100.0, 100.0]",1.01,97.98
SynthID d=10,"0.01665 [0.01388, 0.01994]",100,"100.0 [100.0, 100.0]",1.92,96.86
TextSeal a=.1 (on),"0.04689 [0.03963, 0.05446]",100,"100.0 [100.0, 100.0]",1.79,96.73
Gumbel-Max (on),"0.43261 [0.37023, 0.49801]",100,"100.0 [100.0, 100.0]",1.24,97.18
